port_name,closest_name,closest_distance
FRONTERA,DOS BOCAS TERMINAL,60785.91061764091
FUJAYRAH HARBOR,KHAWR FAKKAN,20996.686597431562
FUKUI,FUKUI KO,15778.451884194548
FUKUYAMA,ONOMICHI-ITOZAKI,25087.595616625553
FUNABASHI,KATSUNAN KO,3011.2180050343413
FUNAFUTI ATOLL,MATA-UTU,740179.8406884951
FUNCHAL,SANTA CRUZ DE LA PALMA,446389.22562501323
GAETA,POZZUOLI,61802.560903991536
GAIRLOCH,AULTBEA,14263.542102377274
GALATI,RENI,17010.24469082428
GALLIPOLI,OTRANTO,45330.26207100359
GANANOQUE,CLAYTON,14487.7531292407
GANGES,CROFTON,11129.067579003402
GARDINER,AUGUSTA,9266.332561524683
GARGANTUA,MICHIPICOTEN,44756.25985424185
GARY,BUFFINGTON,7170.278329190939
GATINEAU,HULL,6791.100904546932
GATINEAU,OTTAWA,6791.100904546932
GAVAN VYSOTSK,VYBORG,14945.8540412813
GAVRIO,ANDROS,19817.479493404106
GDANSK,PORT POLNOCHNY,6434.152757050702
GEBZE,KABA BURNU,1403.6346927301672
GEELONG,MELBOURNE,63280.89163339938
GELENDZHIK,NOVOROSSIYSK,29087.78458690848
GEMLIK,BORUSAN FERTILIZER JETTY,1411.0009089348268
GENOVA,SAVONA,35675.37169982653
GEORGE INLET,KETCHIKAN,12852.821943455843
GEORGETOWN,CAYMAN BRAC,178337.20588188592
GEORGETOWN,CHARLESTON,87690.6927717256
GERALDTON,USELESS LOOP,322733.27876286843
GIBOSTAD,FINNSNES,13759.960620485132
GIRESUN,ORDU,44009.37612304353
GISBORNE,NAPIER,132429.4668500001
GLADSTONE,PORT ALMA,50373.54427221067
GLEN COVE,PORT TOWNSEND,4457.1089672882545
